pkg,name,value
abjutils,abjutils::check_dig_vet,1
abjutils,abjutils::file_sans_ext,1
abjutils,abjutils::reais,1
abjutils,abjutils::carf_check_dig,1
abjutils,abjutils::carf_build_id,1
abjutils,abjutils::sample_cnj,8
abjutils,abjutils::extract_parts,2
abjutils,abjutils::tabela,2
abjutils,abjutils::gather_subjects,1
abjutils,abjutils::lsos,6
abjutils,abjutils::escape_unicode,0
abjutils,abjutils::clean_cnj,1
abjutils,abjutils::chrome_to_body,1
abjutils,abjutils::clean_id,1
abjutils,abjutils::precision,1
abjutils,abjutils::separate_cnj,3
abjutils,abjutils::carf_calc_dig,3
abjutils,abjutils::pvec,7
abjutils,abjutils::pattern_cnj,0
abjutils,abjutils::build_id,1
abjutils,abjutils::write_data,3
abjutils,abjutils::calc_dig,2
abjutils,abjutils::verify_cnj,1
abjutils,abjutils::check_dig,1
abjutils,abjutils::rm_accent,1
abjutils,abjutils::test_fun,2
abjutils,abjutils::use_pipe,1
abnormality,abnormality::generate_correlated_matrix,5
abnormality,abnormality::overall_abnormality,6
abodOutlier,abodOutlier::abod,4
ABPS,ABPS::OFFscore,3
ABPS,ABPS::ABPS,8
AbSim,AbSim::ighd_mus_df,0
AbSim,AbSim::ighd_hum_df,0
AbSim,AbSim::one_spot_df,0
AbSim,AbSim::igkv_mus_df,0
AbSim,AbSim::igkv_hum_df,0
AbSim,AbSim::hotspot_df,0
AbSim,AbSim::iglv_mus_df,0
AbSim,AbSim::iglv_hum_df,0
AbSim,AbSim::igkj_mus_df,0
AbSim,AbSim::igkj_hum_df,0
AbSim,AbSim::ighv_mus_df,0
AbSim,AbSim::ighv_hum_df,0
AbSim,AbSim::iglj_mus_df,0
AbSim,AbSim::iglj_hum_df,0
AbSim,AbSim::clonalExpansion,5
AbSim,AbSim::ighj_mus_df,0
AbSim,AbSim::ighj_hum_df,0
AbSim,AbSim::fullRepertoire,16
AbSim,AbSim::singleLineage,16
AbSim,AbSim::repertoireFastas,3
abstractr,abstractr::abstractr,0
abtest,abtest::plot_prior,5
abtest,abtest::simulate_priors,3
abtest,abtest::get_prior_prob,1
abtest,abtest::get_post_prob,1
abtest,abtest::plot_sequential,4
abtest,abtest::dprior,5
abtest,abtest::ab_test,6
abtest,abtest::get_post_samples,2
abtest,abtest::plot_robustness,9
abtest,abtest::qprior,4
abtest,abtest::plot_posterior,9
abtest,abtest::elicit_prior,6
abtest,abtest::prob_wheel,2
abtest,abtest::pprior,4
abtest,abtest::get_bf,2
abundant,abundant::pred.response,2
abundant,abundant::fit.pfc,14
Ac3net,Ac3net::Ac3net.filtersames,1
Ac3net,Ac3net::Ac3net.cutoff,4
Ac3net,Ac3net::Ac3net.performance,4
Ac3net,Ac3net::Ac3net.maxmim,3
Ac3net,Ac3net::Ac3net.getDirectedOrDualLinks,2
Ac3net,Ac3net::Ac3net.MTC,5
Ac3net,Ac3net::Ac3net.getDifferentLinks,3
Ac3net,Ac3net::Ac3net.commonlinks,3
Ac3net,Ac3net::Ac3net,11
ACA,ACA::SDScan,7
acc,acc::simPA,5
